sent,source,effective,expires,senderName,headline,description,instruction,web,alert_title,severity_level,alert_disease,areaDesc,areaDesc_EN,circle,ISO3166,areaDetail,ISO3166_2
"2020-02-04T15:41:52+08:00","CDC","2020-02-04T15:41:52+08:00","2020-05-04T15:41:52+08:00","疾病管制署","全球-小兒麻痺症","全球小兒麻痺症根除倡議組織(GPEI)公布上週疫情統計：巴基斯坦新增6例WPV1及4例cVDPV2，該國2019年分別累計139例WPV1及22例cVDPV2，其中WPV1病例遠高於去年總數；安哥拉新增15例cVDPV2，分別來自8個省，該國2019年累計103例；剛果民主共和國新增2例cVDPV2，分別來自桑庫魯省(Sankuru)和克維魯省(Kwilu)，該國2019年累計75例；菲律賓新增1例cVDPV1，為該國2019年第2例。另有6國檢出陽性環境檢體：阿富汗3件WPV1，巴基斯坦10件WPV1及1件cVDPV2，衣索比亞、奈及利亞、象牙海岸及索馬利亞共檢出8件cVDPV2。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=yOf7K1K7kBj0q4IGBjLyvQ","國際重要疫情資訊","","小兒麻痺症/急性無力肢體麻痺","阿富汗,安哥拉,剛果民主共和國,象牙海岸,衣索比亞,奈及利亞,巴基斯坦,菲律賓,索馬利亞","Afghanistan,Angola,Congo,Democratic Republic of the,Cote d'Ivoire,Ethiopia,Nigeria,Pakistan,Philippines,Somalia","33.90,66.04","AF,AO,CD,CI,ET,NG,PK,PH,SO","",""
"2020-02-04T15:40:53+08:00","CDC","2020-02-04T15:40:53+08:00","2020-05-04T15:40:53+08:00","疾病管制署","美國-流感","美國活動度下降2週後，近2週再次上升，1/19-1/25門診ILI就診率為5.7%，高於基準值(2.4%)，2019-2020流感季迄今累計1,900萬例病例，其中18萬例住院，10,000例死亡，近4週流行型別以A(H1N1)及B/Victoria為多。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=Ag1Hbnxm9QuW9kiMphZqSQ","國際重要疫情資訊","","流感併發重症","美國","USA","38.82,-100.54","US","",""
"2020-02-04T15:37:26+08:00","CDC","2020-02-04T15:37:26+08:00","2020-05-04T15:37:26+08:00","疾病管制署","中國大陸-法定傳染病","中國大陸2019年12月法定傳染病共1,707,322例，其中死亡2,636人，呈上升趨勢或高於去年同期重點疾病如下：  流感：疫情明顯上升，12月新增近120萬例，遠高於11月15萬6千餘例；全年累計逾350萬例，為2005年來最高，近年持續上升。 猩紅熱：疫情上升，12月新增逾13,000例，較11月10,000餘例為高；全年累計逾83,000例，為2005年來最高。 德國麻疹：疫情上升，12月新增約1,700例，較11月900餘例為高；全年累計34,000餘例，為2013年來最高。 梅毒：疫情持續，12月新增逾48,000例，較11月略降；全年累計逾58萬7千例，為2005年來最高，且近年持續上升。 其他感染性腹瀉病：疫情上升，12月新增12萬2千餘例，較11月近9萬例為高；全年累計逾134萬例，為2005年來最高。    ","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=2H7Md07oym-S1HXQMRZ8gw","國際重要疫情資訊","","流感併發重症,德國麻疹,梅毒","中國大陸","China","34.307144,103.974609","CN","",""
"2020-02-04T15:36:26+08:00","CDC","2020-02-04T15:36:26+08:00","2020-05-04T15:36:26+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","中國大陸截至2/3累計確診17,226例，其中至少2,296例重症，361例死亡；密切接觸者逾189,583人，追蹤中152,700人。全球其他25個國家/地區累計確診165例，以泰國19例、新加坡18例、日本15例(不含無症狀5人)、南韓15例、香港15例及澳洲12例為多。","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=7jJ4T34BTVhLHIJJP4Fd-Q","國際重要疫情資訊","第三級:警告(Warning)","嚴重特殊傳染性肺炎","中國大陸(不含港澳)","China","34.307144,103.974609","CN","",""
"2020-02-03T16:33:11+08:00","CDC","2020-02-03T16:33:11+08:00","2020-05-03T16:33:11+08:00","疾病管制署","巴拉圭-登革熱","巴拉圭於1月份報告35,800餘例疑似病例，高於去年全年報告病例總數，其中927例確診，4例死亡；病毒血清型多為DENV-2、DENV-4或共同流行；逾7成病例來自首都亞松森及中央省。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=uckpAVEvpC7fJL1DEzpIrQ","國際重要疫情資訊","","登革熱","巴拉圭共和國","Paraguay","-23.24,-58.60","PY","",""
"2020-02-03T16:25:40+08:00","CDC","2020-02-03T16:25:40+08:00","2020-05-03T16:25:40+08:00","疾病管制署","孟加拉-立百病毒","孟加拉疾控研究中心(IEDCR)公布今年迄今累計6例確診，其中4例死亡，近期出現人傳人病例；WHO指出感染源疑為受蝙蝠尿液或唾液汙染之水果及其產品，當局已呼籲民眾勿生飲椰棗樹液。該國近3年全年累計病例數為3-8例(2-7例死亡)。  ","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=CFY1oStfmfD-h_CVCCnigQ","國際重要疫情資訊","","","孟加拉","Bangladesh","24.14,90.24","BD","",""
"2020-02-03T16:23:46+08:00","CDC","2020-02-03T16:23:46+08:00","2020-05-03T16:23:46+08:00","疾病管制署","獅子山共和國-拉薩熱","獅子山共和國於1/17通報東部科諾地區(Kono)傳出1例確診，為一名8歲女童，1/14轉入隔離病房後死亡；該國於去年10月底至今年1/17累計3個地區通報9例(5例死亡)，其中5例經檢驗為陽性，各地區病例間無流病相關。當局已對接觸者進行疫調及監測。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=nFwrAzgVTz3ZG4IFvGhY9g","國際重要疫情資訊","","拉薩熱","獅子山","Sierra Leone","8.58,-11.76","SL","",""
"2020-02-03T16:22:41+08:00","CDC","2020-02-03T16:22:41+08:00","2020-05-03T16:22:41+08:00","疾病管制署","剛果民主共和國-伊波拉病毒感染","剛果民主共和國近3週每週平均增加10例，病例分布以貝尼(Beni)近62%為多；2018/5/11-2020/1/31累計3,427例(3,304例確診，123例極可能)，其中2,246例死亡，另病例中172例為醫護人員，自2018/8/8起累計281,552人接種實驗性疫苗(rVSV-ZEBOV)。WHO於1/30維持評估該國及區域傳播風險為非常高，國際為低。","對當地採取加強防護","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=Te60ZC4_Ko1AP1SvbyWQig","國際重要疫情資訊","第二級:警示(Alert)","伊波拉病毒感染","剛果民主共和國","Congo,Democratic Republic of the","-3.07,24.52","CD","",""
"2020-02-03T16:21:53+08:00","CDC","2020-02-03T16:21:53+08:00","2020-05-03T16:21:53+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","中國大陸截至2/2累計確診14,401例，其中至少2,110例重症，304例死亡；密切接觸者逾163,844人，追蹤中137,594人。全球其他25個國家/地區累計確診163例，以泰國19例、新加坡18例、日本15例(不含無症狀5人)、南韓15例、香港14例及澳洲12例為多。","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=DPxblUrFYYhqPnPSb9SG8Q","國際重要疫情資訊","第三級:警告(Warning)","嚴重特殊傳染性肺炎","中國大陸(不含港澳)","China","34.307144,103.974609","CN","",""
"2020-01-31T15:50:40+08:00","CDC","2020-01-31T15:50:40+08:00","2020-04-30T15:50:40+08:00","疾病管制署","中國大陸-新型冠狀病毒肺炎","中國大陸截至1/30累計31省市區(不含港澳)確診7,741例個案，至少1,370例重症，170例死亡。密切接觸者逾88,693人，追蹤中81,947人。全球其他18國家/地區累計96例。","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=g1kGj4Hho8YrY_c2l8wDpg","國際重要疫情資訊","第三級:警告(Warning)","嚴重特殊傳染性肺炎","中國大陸(不含港澳)","China","34.307144,103.974609","CN","",""
"2020-01-31T15:49:29+08:00","CDC","2020-01-31T15:49:29+08:00","2020-04-30T15:49:29+08:00","疾病管制署","查德、南蘇丹-幾內亞蟲症","卡特中心(The Carter Center)公布2019年全球累計53例，高於2018年(28例)，病例主要集中於查德(47例)，其次為南蘇丹(4例)，另查德累計近2,000例動物病例；中心表示隨著近年動物感染病例增加，防疫難度提升，需加強社區衛生教育以及水源消毒淨化。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=sFTLjGqtAyMxLmQ8dHmg-g","國際重要疫情資訊","","","查德,南蘇丹共和國","Chad,South Sudan,Republic of","15.32,18.94","TD,SS","",""
"2020-01-31T15:44:31+08:00","CDC","2020-01-31T15:44:31+08:00","2020-04-30T15:44:31+08:00","疾病管制署","烏干達-克里米亞-剛果出血熱","烏干達東部卡加迪(Kagadi)於1/22傳出1例確診，為23歲患者，已隔離治療，另有4例疑似病例及9名接觸者，當局已進行樣本檢驗及病例監測；該國去年亦曾爆發疫情。","","https://www.cdc.gov.tw/TravelEpidemic/Detail/G3PSay_dafdAwjsYNm3CCA?epidemicId=GxEjTsdZlaSWwZqSS5qi5Q","國際重要疫情資訊","","","烏干達","Uganda","1.51,32.16","UG","",""
